TIME,SEGMENTID,BUS COUNT                ,MESSAGE COUNT,SPEED
12/08/2014 11:50:32 PM,577,1.0,7.0,22
02/28/2013 11:50:32 PM,1134,0.0,0.0,-1
02/11/2013 11:50:32 PM,489,1.0,5.0,36
12/01/2014 11:50:32 PM,302,1.0,7.0,25
02/07/2013 11:50:32 PM,829,0.0,0.0,-1
12/02/2014 11:50:32 PM,427,1.0,7.0,27
11/27/2014 11:50:32 PM,179,1.0,7.0,29
02/11/2013 11:50:32 PM,231,2.0,23.0,25
12/16/2014 11:50:32 PM,899,3.0,16.0,25
12/25/2014 11:50:32 PM,1282,0.0,0.0,-1
01/25/2013 11:50:32 PM,549,1.0,3.0,10
01/16/2013 11:50:32 PM,465,1.0,10.0,16
12/12/2014 11:50:32 PM,584,1.0,2.0,19
02/28/2013 11:50:32 PM,1267,0.0,0.0,-1
12/29/2014 11:50:32 PM,1011,0.0,0.0,-1
02/20/2013 11:50:32 PM,355,2.0,10.0,21
12/09/2014 11:50:32 PM,1188,0.0,0.0,-1
02/14/2013 11:50:32 PM,835,0.0,0.0,-1
12/01/2014 11:50:32 PM,465,0.0,0.0,-1
02/14/2013 11:50:32 PM,994,0.0,0.0,-1
02/27/2013 11:50:32 PM,1260,1.0,5.0,13
01/31/2013 11:50:32 PM,100,0.0,0.0,-1
01/24/2013 11:50:32 PM,19,0.0,0.0,-1
02/19/2013 11:50:32 PM,801,1.0,10.0,24
02/13/2013 11:50:32 PM,1277,2.0,11.0,23
02/11/2013 11:50:32 PM,1200,1.0,1.0,29
12/06/2014 11:50:32 PM,1214,0.0,0.0,-1
01/22/2013 11:50:32 PM,717,0.0,0.0,-1
02/02/2013 11:50:32 PM,914,2.0,12.0,18
12/07/2014 11:50:32 PM,844,0.0,0.0,-1
01/20/2013 11:50:32 PM,45,0.0,0.0,-1
02/04/2013 11:50:32 PM,913,0.0,0.0,-1
12/16/2014 11:50:32 PM,405,0.0,0.0,-1
02/28/2013 11:50:32 PM,63,1.0,4.0,31
01/21/2013 11:50:32 PM,273,1.0,2.0,27
02/21/2013 11:50:32 PM,92,3.0,27.0,16
12/16/2014 11:50:32 PM,347,2.0,21.0,28
12/17/2014 11:50:32 PM,1273,2.0,14.0,17
12/06/2014 11:50:32 PM,291,2.0,21.0,20
12/14/2014 11:50:32 PM,1001,0.0,0.0,-1
02/03/2013 11:50:32 PM,1282,1.0,2.0,20
12/07/2014 11:50:32 PM,580,1.0,2.0,55
12/06/2014 11:50:32 PM,305,1.0,6.0,20
01/25/2013 11:50:32 PM,842,0.0,0.0,-1
02/08/2013 11:50:32 PM,76,3.0,19.0,11
12/30/2014 11:50:32 PM,63,0.0,0.0,-1
02/12/2013 11:50:32 PM,439,0.0,0.0,-1
02/23/2013 11:50:32 PM,592,1.0,1.0,41
01/23/2013 11:50:32 PM,610,3.0,5.0,55
02/23/2013 11:50:32 PM,188,1.0,2.0,25
02/05/2013 11:50:32 PM,775,1.0,2.0,28
01/24/2013 11:50:32 PM,1060,0.0,0.0,-1
02/06/2013 11:50:32 PM,1249,0.0,0.0,-1
12/30/2014 11:50:32 PM,886,0.0,0.0,-1
02/08/2013 11:50:32 PM,97,2.0,14.0,27
11/28/2014 11:50:32 PM,30,0.0,0.0,-1
11/30/2014 11:50:32 PM,1091,0.0,0.0,-1
02/20/2013 11:50:32 PM,137,3.0,20.0,25
01/22/2013 11:50:32 PM,61,0.0,0.0,-1
12/30/2014 11:50:32 PM,473,0.0,0.0,-1
12/23/2014 11:50:32 PM,802,1.0,8.0,23
12/25/2014 11:50:32 PM,504,1.0,1.0,30
02/08/2013 11:50:32 PM,234,0.0,0.0,-1
02/07/2013 11:50:32 PM,1099,0.0,0.0,-1
02/04/2013 11:50:32 PM,979,1.0,4.0,18
02/16/2013 11:50:32 PM,374,0.0,0.0,-1
01/15/2013 11:50:32 PM,270,1.0,1.0,35
01/27/2013 11:50:32 PM,116,0.0,0.0,-1
12/07/2014 11:50:32 PM,939,1.0,12.0,15
02/02/2013 11:50:32 PM,1232,0.0,0.0,-1
12/05/2014 11:50:32 PM,1245,3.0,26.0,22
02/05/2013 11:50:32 PM,1051,0.0,0.0,-1
02/27/2013 11:50:32 PM,572,1.0,10.0,27
12/24/2014 11:50:32 PM,850,0.0,0.0,-1
02/18/2013 11:50:32 PM,338,1.0,4.0,22
01/24/2013 11:50:32 PM,1245,2.0,13.0,20
12/28/2014 11:50:32 PM,1258,1.0,13.0,24
02/14/2013 11:50:32 PM,557,1.0,4.0,14
01/16/2013 11:50:32 PM,200,2.0,12.0,14
02/15/2013 11:50:32 PM,702,1.0,7.0,26
01/30/2013 11:50:32 PM,137,3.0,16.0,33
02/03/2013 11:50:32 PM,127,1.0,2.0,25
12/09/2014 11:50:32 PM,78,1.0,7.0,22
12/16/2014 11:50:32 PM,568,1.0,6.0,15
12/12/2014 11:50:32 PM,235,2.0,14.0,15
12/07/2014 11:50:32 PM,765,0.0,0.0,-1
12/24/2014 11:50:32 PM,926,1.0,1.0,31
11/27/2014 11:50:32 PM,134,1.0,9.0,20
